Designator,Mid X,Mid Y,Rotation,Layer
A1,289.782658,-155.991314,180.0,top
B1,323.782658,-148.991314,180.0,top
D1,296.782658,-116.991314,180.0,bottom
D2,289.782658,-150.991314,180.0,bottom
D3,323.782658,-143.991314,180.0,bottom
D4,330.782658,-109.991314,180.0,bottom
D5,364.782658,-109.991314,180.0,bottom
D6,357.782658,-143.991314,180.0,bottom
D7,391.782658,-143.991314,180.0,bottom
D8,398.782658,-109.991314,180.0,bottom
J1,417.4675,-106.0,90.0,bottom
JOYSTICK1,277.0,-101.0,270.0,bottom
L3/LS,332.5,-89.25,0.0,top
LB1,398.782658,-114.991314,180.0,top
LT1,391.782658,-148.991314,180.0,top
PS/HOME,377.5,-89.25,0.0,top
R3/RS,347.5,-89.25,0.0,top
RB1,364.782658,-114.991314,180.0,top
RT1,357.782658,-148.991314,180.0,top
RZ1,299.35,-93.41495,0.0,top
SHARE/BACK,392.5,-89.25,0.0,top
START,407.5,-89.25,0.0,top
TOUCH/-,362.5,-89.25,0.0,top
TURBO,317.5,-89.25,0.0,top
X,296.782658,-121.991314,180.0,top
Y2,330.782658,-114.991314,180.0,top
